waveform	V_in	V_out
t0	4/22/2022  09:49:08,307853	4/22/2022  09:49:08,307864
delta t	0,000250	0,000250

time	V_in	V_out
4/22/2022  09:49:08,358853	-2,494389E+0	-1,972462E-3
4/22/2022  09:49:08,359103	-2,494389E+0	-2,938018E-3
4/22/2022  09:49:08,359353	-2,493101E+0	-2,294314E-3
4/22/2022  09:49:08,359603	-2,495354E+0	-1,328757E-3
4/22/2022  09:49:08,359853	-2,494389E+0	-1,006905E-3
4/22/2022  09:49:08,360103	-2,493745E+0	-2,616166E-3
4/22/2022  09:49:08,360353	-2,494711E+0	-2,616166E-3
4/22/2022  09:49:08,360603	-2,493745E+0	-2,294314E-3
4/22/2022  09:49:08,360853	-2,495676E+0	-1,006905E-3
4/22/2022  09:49:08,361103	-2,494389E+0	-2,294314E-3
4/22/2022  09:49:08,361353	-2,494067E+0	-4,134846E-5
4/22/2022  09:49:08,361603	-2,494711E+0	-2,616166E-3
4/22/2022  09:49:08,361853	-2,493101E+0	-1,006905E-3
4/22/2022  09:49:08,362103	-2,493101E+0	-6,850528E-4
4/22/2022  09:49:08,362353	-2,493101E+0	-1,328757E-3
4/22/2022  09:49:08,362603	-2,492458E+0	-2,616166E-3
4/22/2022  09:49:08,362853	-2,494067E+0	-2,294314E-3
4/22/2022  09:49:08,363103	-2,493101E+0	-1,972462E-3
4/22/2022  09:49:08,363353	-2,494389E+0	-1,006905E-3
4/22/2022  09:49:08,363603	-2,495998E+0	-1,972462E-3
4/22/2022  09:49:08,363853	-2,495998E+0	-2,616166E-3
4/22/2022  09:49:08,364103	-2,494389E+0	-3,581723E-3
4/22/2022  09:49:08,364353	-2,492780E+0	-6,850528E-4
4/22/2022  09:49:08,364603	-2,494711E+0	-1,972462E-3
4/22/2022  09:49:08,364853	-2,494711E+0	-4,134846E-5
4/22/2022  09:49:08,365103	-2,493101E+0	-2,616166E-3
4/22/2022  09:49:08,365353	-2,494389E+0	-6,850528E-4
4/22/2022  09:49:08,365603	-2,492780E+0	-3,259870E-3
4/22/2022  09:49:08,365853	-2,495676E+0	-3,632007E-4
4/22/2022  09:49:08,366103	-2,494067E+0	-1,972462E-3
4/22/2022  09:49:08,366353	-2,494389E+0	-1,328757E-3
4/22/2022  09:49:08,366603	-2,494067E+0	-2,294314E-3
4/22/2022  09:49:08,366853	-2,493423E+0	-1,006905E-3
4/22/2022  09:49:08,367103	-2,493423E+0	-3,259870E-3
4/22/2022  09:49:08,367353	-2,495354E+0	-2,616166E-3
4/22/2022  09:49:08,367603	-2,495033E+0	-1,328757E-3
4/22/2022  09:49:08,367853	-2,494389E+0	-1,006905E-3
4/22/2022  09:49:08,368103	-2,493745E+0	-1,972462E-3
4/22/2022  09:49:08,368353	-2,495033E+0	-3,632007E-4
4/22/2022  09:49:08,368603	-2,493101E+0	-1,650609E-3
4/22/2022  09:49:08,368853	-2,495033E+0	-1,328757E-3
4/22/2022  09:49:08,369103	-2,494389E+0	-2,294314E-3
4/22/2022  09:49:08,369353	-2,494067E+0	-2,616166E-3
4/22/2022  09:49:08,369603	-2,495676E+0	-1,006905E-3
4/22/2022  09:49:08,369853	-2,494389E+0	-2,294314E-3
4/22/2022  09:49:08,370103	-2,495354E+0	-6,850528E-4
4/22/2022  09:49:08,370353	-2,492780E+0	-1,328757E-3
4/22/2022  09:49:08,370603	-2,493101E+0	-1,328757E-3
4/22/2022  09:49:08,370853	-2,495998E+0	-4,547279E-3
4/22/2022  09:49:08,371103	-2,494389E+0	-1,650609E-3
4/22/2022  09:49:08,371353	-2,494067E+0	-2,294314E-3
4/22/2022  09:49:08,371603	-2,495676E+0	-2,938018E-3
4/22/2022  09:49:08,371853	-2,493101E+0	-2,938018E-3
4/22/2022  09:49:08,372103	-2,494389E+0	-1,650609E-3
4/22/2022  09:49:08,372353	-2,493745E+0	-6,850528E-4
4/22/2022  09:49:08,372603	-2,494067E+0	-1,972462E-3
4/22/2022  09:49:08,372853	-2,496320E+0	-1,328757E-3
4/22/2022  09:49:08,373103	-2,492458E+0	-2,294314E-3
4/22/2022  09:49:08,373353	-2,493745E+0	-3,903575E-3
4/22/2022  09:49:08,373603	-2,491814E+0	-1,972462E-3
4/22/2022  09:49:08,373853	-2,494067E+0	-6,850528E-4
4/22/2022  09:49:08,374103	-2,494389E+0	-1,006905E-3
4/22/2022  09:49:08,374353	-2,494711E+0	-3,581723E-3
4/22/2022  09:49:08,374603	-2,493423E+0	-2,294314E-3
4/22/2022  09:49:08,374853	-2,493423E+0	-2,616166E-3
4/22/2022  09:49:08,375103	-2,494067E+0	-6,850528E-4
4/22/2022  09:49:08,375353	-2,492136E+0	-2,938018E-3
4/22/2022  09:49:08,375603	-2,492780E+0	-1,328757E-3
4/22/2022  09:49:08,375853	-2,494389E+0	-1,650609E-3
4/22/2022  09:49:08,376103	-2,493423E+0	-2,938018E-3
4/22/2022  09:49:08,376353	-2,496642E+0	-2,938018E-3
4/22/2022  09:49:08,376603	-2,495033E+0	-1,650609E-3
4/22/2022  09:49:08,376853	-2,494389E+0	-2,938018E-3
4/22/2022  09:49:08,377103	-2,493745E+0	-3,581723E-3
4/22/2022  09:49:08,377353	-2,495354E+0	-2,294314E-3
4/22/2022  09:49:08,377603	-2,494067E+0	-2,294314E-3
4/22/2022  09:49:08,377853	-2,493745E+0	-2,294314E-3
4/22/2022  09:49:08,378103	-2,494711E+0	-1,328757E-3
4/22/2022  09:49:08,378353	-2,495033E+0	-2,616166E-3
4/22/2022  09:49:08,378603	-2,494067E+0	-2,938018E-3
4/22/2022  09:49:08,378853	-2,494067E+0	-1,650609E-3
